image_id,width,height,aspect_ratio,area,num_annotations
0,640,640,1.0,409600,2
1,640,640,1.0,409600,1
2,640,640,1.0,409600,3
3,640,640,1.0,409600,3
4,640,640,1.0,409600,2
5,640,640,1.0,409600,2
6,640,640,1.0,409600,3
7,640,640,1.0,409600,2
8,640,640,1.0,409600,1
9,640,640,1.0,409600,2
10,640,640,1.0,409600,2
11,640,640,1.0,409600,22
12,640,640,1.0,409600,3
13,640,640,1.0,409600,2
14,640,640,1.0,409600,1
15,640,640,1.0,409600,4
16,640,640,1.0,409600,1
17,640,640,1.0,409600,3
18,640,640,1.0,409600,1
19,640,640,1.0,409600,4
20,640,640,1.0,409600,3
21,640,640,1.0,409600,1
22,640,640,1.0,409600,4
23,640,640,1.0,409600,1
24,640,640,1.0,409600,2
25,640,640,1.0,409600,6
26,640,640,1.0,409600,1
27,640,640,1.0,409600,1
28,640,640,1.0,409600,3
29,640,640,1.0,409600,1
30,640,640,1.0,409600,1
31,640,640,1.0,409600,2
32,640,640,1.0,409600,3
33,640,640,1.0,409600,1
34,640,640,1.0,409600,2
35,640,640,1.0,409600,2
36,640,640,1.0,409600,1
37,640,640,1.0,409600,2
38,640,640,1.0,409600,1
39,640,640,1.0,409600,2
40,640,640,1.0,409600,1
41,640,640,1.0,409600,5
42,640,640,1.0,409600,1
43,640,640,1.0,409600,1
44,640,640,1.0,409600,1
45,640,640,1.0,409600,2
46,640,640,1.0,409600,3
47,640,640,1.0,409600,3
48,640,640,1.0,409600,1
49,640,640,1.0,409600,5
50,640,640,1.0,409600,1
51,640,640,1.0,409600,1
52,640,640,1.0,409600,4
53,640,640,1.0,409600,7
54,640,640,1.0,409600,2
55,640,640,1.0,409600,1
56,640,640,1.0,409600,1
57,640,640,1.0,409600,1
58,640,640,1.0,409600,1
59,640,640,1.0,409600,1
60,640,640,1.0,409600,1
61,640,640,1.0,409600,2
62,640,640,1.0,409600,1
63,640,640,1.0,409600,1
64,640,640,1.0,409600,1
65,640,640,1.0,409600,1
66,640,640,1.0,409600,1
67,640,640,1.0,409600,1
68,640,640,1.0,409600,1
69,640,640,1.0,409600,2
70,640,640,1.0,409600,2
71,640,640,1.0,409600,1
72,640,640,1.0,409600,1
73,640,640,1.0,409600,1
74,640,640,1.0,409600,1
75,640,640,1.0,409600,1
76,640,640,1.0,409600,5
77,640,640,1.0,409600,1
78,640,640,1.0,409600,1
79,640,640,1.0,409600,5
80,640,640,1.0,409600,2
81,640,640,1.0,409600,3
82,640,640,1.0,409600,1
83,640,640,1.0,409600,2
84,640,640,1.0,409600,5
85,640,640,1.0,409600,4
86,640,640,1.0,409600,2
87,640,640,1.0,409600,1
88,640,640,1.0,409600,1
89,640,640,1.0,409600,1
90,640,640,1.0,409600,1
91,640,640,1.0,409600,4
92,640,640,1.0,409600,2
93,640,640,1.0,409600,17
94,640,640,1.0,409600,2
95,640,640,1.0,409600,5
96,640,640,1.0,409600,2
97,640,640,1.0,409600,1
98,640,640,1.0,409600,2
99,640,640,1.0,409600,3
100,640,640,1.0,409600,3
101,640,640,1.0,409600,2
102,640,640,1.0,409600,1
103,640,640,1.0,409600,1
104,640,640,1.0,409600,1
105,640,640,1.0,409600,2
106,640,640,1.0,409600,1
107,640,640,1.0,409600,1
108,640,640,1.0,409600,1
109,640,640,1.0,409600,2
110,640,640,1.0,409600,1
111,640,640,1.0,409600,1
112,640,640,1.0,409600,6
113,640,640,1.0,409600,1
114,640,640,1.0,409600,1
115,640,640,1.0,409600,2
116,640,640,1.0,409600,1
117,640,640,1.0,409600,2
118,640,640,1.0,409600,1
119,640,640,1.0,409600,1
120,640,640,1.0,409600,1
121,640,640,1.0,409600,1
122,640,640,1.0,409600,1
123,640,640,1.0,409600,1
124,640,640,1.0,409600,1
125,640,640,1.0,409600,1
126,640,640,1.0,409600,1
127,640,640,1.0,409600,4
128,640,640,1.0,409600,2
129,640,640,1.0,409600,1
130,640,640,1.0,409600,1
131,640,640,1.0,409600,1
132,640,640,1.0,409600,4
133,640,640,1.0,409600,1
134,640,640,1.0,409600,2
135,640,640,1.0,409600,4
136,640,640,1.0,409600,4
137,640,640,1.0,409600,1
138,640,640,1.0,409600,1
139,640,640,1.0,409600,1
140,640,640,1.0,409600,3
141,640,640,1.0,409600,2
142,640,640,1.0,409600,1
143,640,640,1.0,409600,1
144,640,640,1.0,409600,1
145,640,640,1.0,409600,1
146,640,640,1.0,409600,1
147,640,640,1.0,409600,1
148,640,640,1.0,409600,3
149,640,640,1.0,409600,1
150,640,640,1.0,409600,1
151,640,640,1.0,409600,1
152,640,640,1.0,409600,1
153,640,640,1.0,409600,2
154,640,640,1.0,409600,3
155,640,640,1.0,409600,3
156,640,640,1.0,409600,1
157,640,640,1.0,409600,4
158,640,640,1.0,409600,3
159,640,640,1.0,409600,1
160,640,640,1.0,409600,2
161,640,640,1.0,409600,1
162,640,640,1.0,409600,1
163,640,640,1.0,409600,1
164,640,640,1.0,409600,1
165,640,640,1.0,409600,1
166,640,640,1.0,409600,1
167,640,640,1.0,409600,1
168,640,640,1.0,409600,1
169,640,640,1.0,409600,5
170,640,640,1.0,409600,4
171,640,640,1.0,409600,1
172,640,640,1.0,409600,2
173,640,640,1.0,409600,3
174,640,640,1.0,409600,1
175,640,640,1.0,409600,1
176,640,640,1.0,409600,1
177,640,640,1.0,409600,1
178,640,640,1.0,409600,7
179,640,640,1.0,409600,4
180,640,640,1.0,409600,1
181,640,640,1.0,409600,2
182,640,640,1.0,409600,1
183,640,640,1.0,409600,1
184,640,640,1.0,409600,1
185,640,640,1.0,409600,1
186,640,640,1.0,409600,1
187,640,640,1.0,409600,1
188,640,640,1.0,409600,1
189,640,640,1.0,409600,6
190,640,640,1.0,409600,3
191,640,640,1.0,409600,2
192,640,640,1.0,409600,1
193,640,640,1.0,409600,3
194,640,640,1.0,409600,1
195,640,640,1.0,409600,1
196,640,640,1.0,409600,2
197,640,640,1.0,409600,1
198,640,640,1.0,409600,1
199,640,640,1.0,409600,3
200,640,640,1.0,409600,1
201,640,640,1.0,409600,1
202,640,640,1.0,409600,4
203,640,640,1.0,409600,1
204,640,640,1.0,409600,1
205,640,640,1.0,409600,1
206,640,640,1.0,409600,1
207,640,640,1.0,409600,1
208,640,640,1.0,409600,2
209,640,640,1.0,409600,1
210,640,640,1.0,409600,1
211,640,640,1.0,409600,1
212,640,640,1.0,409600,1
213,640,640,1.0,409600,1
214,640,640,1.0,409600,1
215,640,640,1.0,409600,1
216,640,640,1.0,409600,1
217,640,640,1.0,409600,3
218,640,640,1.0,409600,2
219,640,640,1.0,409600,2
220,640,640,1.0,409600,1
221,640,640,1.0,409600,6
222,640,640,1.0,409600,2
223,640,640,1.0,409600,3
224,640,640,1.0,409600,2
225,640,640,1.0,409600,1
226,640,640,1.0,409600,1
227,640,640,1.0,409600,1
228,640,640,1.0,409600,1
229,640,640,1.0,409600,1
230,640,640,1.0,409600,5
231,640,640,1.0,409600,1
232,640,640,1.0,409600,2
233,640,640,1.0,409600,1
234,640,640,1.0,409600,1
235,640,640,1.0,409600,1
236,640,640,1.0,409600,1
237,640,640,1.0,409600,3
238,640,640,1.0,409600,1
239,640,640,1.0,409600,1
240,640,640,1.0,409600,2
241,640,640,1.0,409600,3
242,640,640,1.0,409600,1
243,640,640,1.0,409600,1
244,640,640,1.0,409600,1
245,640,640,1.0,409600,1
246,640,640,1.0,409600,1
247,640,640,1.0,409600,3
248,640,640,1.0,409600,1
249,640,640,1.0,409600,2
250,640,640,1.0,409600,3
251,640,640,1.0,409600,3
252,640,640,1.0,409600,6
253,640,640,1.0,409600,1
254,640,640,1.0,409600,2
255,640,640,1.0,409600,2
256,640,640,1.0,409600,1
257,640,640,1.0,409600,2
258,640,640,1.0,409600,2
259,640,640,1.0,409600,6
260,640,640,1.0,409600,2
261,640,640,1.0,409600,1
262,640,640,1.0,409600,1
263,640,640,1.0,409600,1
264,640,640,1.0,409600,3
265,640,640,1.0,409600,1
266,640,640,1.0,409600,3
267,640,640,1.0,409600,1
268,640,640,1.0,409600,1
269,640,640,1.0,409600,1
270,640,640,1.0,409600,1
271,640,640,1.0,409600,1
272,640,640,1.0,409600,1
273,640,640,1.0,409600,1
274,640,640,1.0,409600,1
275,640,640,1.0,409600,2
276,640,640,1.0,409600,2
277,640,640,1.0,409600,2
278,640,640,1.0,409600,1
279,640,640,1.0,409600,1
280,640,640,1.0,409600,3
281,640,640,1.0,409600,1
282,640,640,1.0,409600,3
283,640,640,1.0,409600,1
284,640,640,1.0,409600,1
285,640,640,1.0,409600,1
286,640,640,1.0,409600,2
287,640,640,1.0,409600,1
288,640,640,1.0,409600,1
289,640,640,1.0,409600,1
290,640,640,1.0,409600,2
291,640,640,1.0,409600,1
292,640,640,1.0,409600,2
293,640,640,1.0,409600,2
294,640,640,1.0,409600,1
295,640,640,1.0,409600,2
296,640,640,1.0,409600,1
297,640,640,1.0,409600,1
298,640,640,1.0,409600,1
299,640,640,1.0,409600,1
300,640,640,1.0,409600,1
301,640,640,1.0,409600,2
302,640,640,1.0,409600,2
303,640,640,1.0,409600,4
304,640,640,1.0,409600,1
305,640,640,1.0,409600,2
306,640,640,1.0,409600,1
307,640,640,1.0,409600,1
308,640,640,1.0,409600,1
309,640,640,1.0,409600,1
310,640,640,1.0,409600,4
311,640,640,1.0,409600,1
312,640,640,1.0,409600,2
313,640,640,1.0,409600,1
314,640,640,1.0,409600,2
315,640,640,1.0,409600,1
316,640,640,1.0,409600,1
317,640,640,1.0,409600,1
318,640,640,1.0,409600,1
319,640,640,1.0,409600,3
320,640,640,1.0,409600,3
321,640,640,1.0,409600,1
322,640,640,1.0,409600,2
323,640,640,1.0,409600,1
324,640,640,1.0,409600,1
325,640,640,1.0,409600,1
326,640,640,1.0,409600,1
327,640,640,1.0,409600,2
328,640,640,1.0,409600,1
329,640,640,1.0,409600,2
330,640,640,1.0,409600,10
331,640,640,1.0,409600,2
332,640,640,1.0,409600,1
333,640,640,1.0,409600,2
334,640,640,1.0,409600,4
335,640,640,1.0,409600,1
336,640,640,1.0,409600,1
337,640,640,1.0,409600,1
338,640,640,1.0,409600,1
339,640,640,1.0,409600,1
340,640,640,1.0,409600,1
341,640,640,1.0,409600,3
342,640,640,1.0,409600,1
343,640,640,1.0,409600,1
344,640,640,1.0,409600,5
345,640,640,1.0,409600,2
346,640,640,1.0,409600,3
347,640,640,1.0,409600,1
348,640,640,1.0,409600,3
349,640,640,1.0,409600,2
350,640,640,1.0,409600,3
351,640,640,1.0,409600,3
352,640,640,1.0,409600,1
353,640,640,1.0,409600,1
354,640,640,1.0,409600,1
355,640,640,1.0,409600,1
356,640,640,1.0,409600,1
357,640,640,1.0,409600,1
358,640,640,1.0,409600,2
359,640,640,1.0,409600,1
360,640,640,1.0,409600,1
361,640,640,1.0,409600,2
362,640,640,1.0,409600,1
363,640,640,1.0,409600,5
364,640,640,1.0,409600,3
365,640,640,1.0,409600,1
366,640,640,1.0,409600,1
367,640,640,1.0,409600,3
368,640,640,1.0,409600,2
369,640,640,1.0,409600,5
370,640,640,1.0,409600,2
371,640,640,1.0,409600,1
372,640,640,1.0,409600,1
373,640,640,1.0,409600,3
374,640,640,1.0,409600,2
375,640,640,1.0,409600,1
376,640,640,1.0,409600,1
377,640,640,1.0,409600,2
378,640,640,1.0,409600,1
379,640,640,1.0,409600,1
380,640,640,1.0,409600,1
381,640,640,1.0,409600,2
382,640,640,1.0,409600,4
383,640,640,1.0,409600,4
384,640,640,1.0,409600,1
385,640,640,1.0,409600,2
386,640,640,1.0,409600,1
387,640,640,1.0,409600,1
388,640,640,1.0,409600,1
389,640,640,1.0,409600,3
390,640,640,1.0,409600,6
391,640,640,1.0,409600,1
392,640,640,1.0,409600,1
393,640,640,1.0,409600,2
394,640,640,1.0,409600,4
395,640,640,1.0,409600,1
396,640,640,1.0,409600,2
397,640,640,1.0,409600,1
398,640,640,1.0,409600,3
399,640,640,1.0,409600,1
400,640,640,1.0,409600,6
401,640,640,1.0,409600,1
402,640,640,1.0,409600,3
403,640,640,1.0,409600,3
404,640,640,1.0,409600,2
405,640,640,1.0,409600,1
406,640,640,1.0,409600,1
407,640,640,1.0,409600,1
408,640,640,1.0,409600,1
